subj_idx,condition,z_value,identity,stimulus,rt,choice
0,neutral,0.5,Self,1,0.5707938461572927,1
0,neutral,0.5,Self,1,0.7557938461572926,1
0,neutral,0.5,Self,1,0.44479384615729267,1
0,neutral,0.5,Self,1,0.7337938461572926,1
0,neutral,0.5,Self,1,0.7217938461572927,1
0,neutral,0.5,Self,1,0.8437938461572926,1
0,neutral,0.5,Self,1,0.9407938461572927,0
0,neutral,0.5,Self,1,1.0027938461572927,0
0,neutral,0.5,Self,1,0.5167938461572926,1
0,neutral,0.5,Self,1,0.6477938461572926,0
0,neutral,0.5,Self,1,0.3167938461572926,1
0,neutral,0.5,Self,1,0.5617938461572927,0
0,neutral,0.5,Self,1,0.3697938461572926,1
0,neutral,0.5,Self,1,0.4977938461572926,0
0,neutral,0.5,Self,1,0.3777938461572926,1
0,neutral,0.5,Self,1,0.46279384615729263,0
0,neutral,0.5,Self,1,0.5207938461572926,1
0,neutral,0.5,Self,1,0.34879384615729264,0
0,neutral,0.5,Self,1,0.8877938461572926,0
0,neutral,0.5,Self,1,0.40979384615729264,1
0,neutral,0.5,Self,1,0.30079384615729265,1
0,neutral,0.5,Self,1,0.5707938461572927,1
0,neutral,0.5,Self,1,0.5507938461572927,0
0,neutral,0.5,Self,1,0.3307938461572926,1
0,neutral,0.5,Self,1,1.2347938461572927,1
0,neutral,0.5,Self,1,0.8487938461572926,1
0,neutral,0.5,Self,1,0.28479384615729264,1
0,neutral,0.5,Self,1,0.8727938461572926,1
0,neutral,0.5,Self,1,0.48079384615729265,1
0,neutral,0.5,Self,1,0.3317938461572926,1
0,neutral,0.5,Self,1,0.36079384615729265,0
0,neutral,0.5,Self,1,0.41279384615729264,1
0,neutral,0.5,Self,1,0.8387938461572926,1
0,neutral,0.5,Self,1,0.5487938461572927,0
0,neutral,0.5,Self,1,1.3247938461572926,1
0,neutral,0.5,Self,1,0.6327938461572926,1
0,neutral,0.5,Self,1,0.41779384615729265,1
0,neutral,0.5,Self,1,0.5417938461572926,1
0,neutral,0.5,Self,1,0.4997938461572926,1
0,neutral,0.5,Self,1,0.5737938461572927,1
0,neutral,0.5,Self,1,0.41179384615729264,1
0,neutral,0.5,Self,1,0.8297938461572926,0
0,neutral,0.5,Self,1,1.0497938461572927,1
0,neutral,0.5,Self,1,0.3317938461572926,1
0,neutral,0.5,Self,1,0.4457938461572927,1
0,neutral,0.5,Self,1,0.3807938461572926,1
0,neutral,0.5,Self,1,0.3747938461572926,0
0,neutral,0.5,Self,1,0.7347938461572926,1
0,neutral,0.5,Self,1,0.34379384615729264,1
0,neutral,0.5,Self,1,1.0017938461572926,0
0,neutral,0.5,Self,1,0.5327938461572926,1
0,neutral,0.5,Self,1,0.3677938461572926,1
0,neutral,0.5,Self,1,0.34079384615729263,0
0,neutral,0.5,Self,1,0.3797938461572926,1
0,neutral,0.5,Self,1,0.3667938461572926,1
0,neutral,0.5,Self,1,0.6727938461572927,1
0,neutral,0.5,Self,1,0.42579384615729265,0
0,neutral,0.5,Self,1,0.8737938461572926,1
0,neutral,0.5,Self,1,0.6077938461572926,1
0,neutral,0.5,Self,1,0.28879384615729264,1
0,neutral,0.5,Self,1,1.5777938461572927,0
0,neutral,0.5,Self,1,0.41579384615729265,0
0,neutral,0.5,Self,1,0.5737938461572927,0
0,neutral,0.5,Self,1,0.7277938461572926,1
0,neutral,0.5,Self,1,0.35079384615729264,0
0,neutral,0.5,Self,1,0.8507938461572926,0
0,neutral,0.5,Self,1,0.3177938461572926,0
0,neutral,0.5,Self,1,0.29879384615729265,1
0,neutral,0.5,Self,1,0.6787938461572927,0
0,neutral,0.5,Self,1,0.39579384615729263,1
0,neutral,0.5,Self,1,1.0707938461572928,1
0,neutral,0.5,Self,1,0.5597938461572927,1
0,neutral,0.5,Self,1,0.33379384615729263,1
0,neutral,0.5,Self,1,0.46779384615729264,0
0,neutral,0.5,Self,1,0.5177938461572926,0
0,neutral,0.5,Self,0,1.0917938461572927,0
0,neutral,0.5,Self,0,0.4577938461572926,0
0,neutral,0.5,Self,0,0.34279384615729264,1
0,neutral,0.5,Self,0,0.5047938461572926,0
0,neutral,0.5,Self,0,0.42679384615729266,0
0,neutral,0.5,Self,0,0.5357938461572926,0
0,neutral,0.5,Self,0,0.48179384615729265,0
0,neutral,0.5,Self,0,0.7837938461572926,0
0,neutral,0.5,Self,0,0.30479384615729266,0
0,neutral,0.5,Self,0,1.1487938461572926,0
0,neutral,0.5,Self,0,0.40679384615729264,0
0,neutral,0.5,Self,0,0.6107938461572926,1
0,neutral,0.5,Self,0,0.41279384615729264,0
0,neutral,0.5,Self,0,0.6937938461572927,1
0,neutral,0.5,Self,0,0.5567938461572927,0
0,neutral,0.5,Self,0,0.44279384615729267,0
0,neutral,0.5,Self,0,0.7317938461572926,0
0,neutral,0.5,Self,0,0.6097938461572926,1
0,neutral,0.5,Self,0,0.47479384615729264,0
0,neutral,0.5,Self,0,0.5787938461572927,0
0,neutral,0.5,Self,0,0.7207938461572927,0
